sample_id,aspect,text,true_sentiment,pred_sentiment,error_type,frequency
1365.0,Battery,"mua máy phải đổi lần 2 mới tạm ổn, máy chạy chậm lắm mặc dù cấu hình cao (như ảo ấy), lỗ sạc là sử dụng đầu sạc cũ trước cả đầu c á, sạc pin vào rất lâu. thôi sử dụng tạm để học tập. cửa hàng thì phục vụ cực kì nhiệt tình, giao hàng cũng nhanh nhẹn, gói hàng cũng kỹ, có phiếu bảo hành.",Negative,Positive,Negative -> Positive,29
141.0,Battery,"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Negative,Positive,Negative -> Positive,29
868.0,Battery,"Tính năng nổi bật: 4g 
Chất lượng sản phẩm: loa trong nghe rõ 
Đúng với mô tả: y chang có game facebook đầy đủ, chụp ảnh như hồi xưa,pin lâu hết",Positive,Negative,Positive -> Negative,28
380.0,Battery,Review sau vài cập nhật máy vẫn còn lỗi app hay lag. Pin vẫn ổn nhưng hiệu năng nhiều khi treo. Đóng gói tốt nhưng vận chuyển lâu. Chăm sóc khách hàng mất thời gian không chịu trách nhiệm rõ ràng,Positive,Negative,Positive -> Negative,28
966.0,Battery,Uầy cửa hàng gửi cho con máy gần đẹp keng luôn. Nhắn cửa hàng không thích bản docomo cửa hàng gửi cho bản au còn cài sẵn rom qt không app rác luôn. Pin còn 3k1/4k hơi kém tí nhưng chấp nhận được với giá sale ntn,Positive,Neutral,Positive -> Neutral,10
483.0,Battery,"Máy đẹp, pin khoẻ, bên hay không thì phải sử dụng một thời gian mới biết được",Positive,Neutral,Positive -> Neutral,10
81.0,Battery,Chất lượng sản phẩm: hiệu năng ở mức tạm được cho các tác vụ hàng ngày. Pin dùng cũng cũng được trong một ngày làm việc nhẹ.,Positive,Neutral,Positive -> Neutral,10
1466.0,Battery,"1.mình thấy nhiều người rw hệ điều hành này không được tối ưu hoá cho mấy 2.không biết do máy hay gì nhưng chơi tốc chiến bật được 120fps nhưng mà toàn bị drop xuống 60-75( mặc dù máy rất mát) và 8/256 cũng thi thoảng bị văng game tốc chiến 3. 5g của máy cảm giác cũng không được mượt mà nên mình chỉ sử dụng 4g 4.máy thì viền nhựa cầm không được sướng tay và dễ bị xước, mặt lưng của máy thì không biết nói sao nhưng cũng tàm tạm 5. pin của máy là 6000 nhưng cảm giác không được trâu cho lắm 6. còn mấy thứ còn lại thì tạm ổn( trừ cam nha =))) đây là những gì sau 1 tháng rưỡi mình trải nghiệm con poco x7 pro này",Neutral,Negative,Neutral -> Negative,8
1385.0,Battery,Pin sử dụng 4 tiếng trung bình. Đóng gói hộp cũ mùi lạ. Ship phí nội thành nhưng chậm như ngoại tỉnh.,Neutral,Negative,Neutral -> Negative,8
1152.0,Battery,"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau 
chất liệu: hoàn thiện tốt. 
Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Neutral,Negative,Neutral -> Negative,8
285.0,Battery,"pin 5000mah, giá cả tương xứng với cấu hình.",Neutral,Positive,Neutral -> Positive,7
1384.0,Battery,để sử dụng tuần lễ 10 ngày mới biệt có bền hay không? về pin thì không cầm cho lắm.,Negative,Neutral,Negative -> Neutral,4
