sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Thiết kế đẹp. Pin sử dụng 1 ngày rưỡi chưa hoàn hiện ở chỗ sạc nhánh không sử dụng được, không sạc đến 80% tự ngắt,",Battery,negative,neutral,negative → neutral,1
"Nhóm màu: Màu xanh đậm 
Dung lượng lưu trữ: 128gb máy màn đẹp. Khung có 1 vết như rơi vào đá nhọn ở góc dưới, pin tụt nhanh. Đang thử sạc lại đầy xem sao. Liên hệ với cửa hàng có sự hỗ trợ. Máy đạt tầm 97%",Battery,negative,positive,negative → positive,1
"Nhóm màu: Đen thời gian giao nhanh, đóng gói cẩn thận, còn khá mượt, tuy nhiên nạp pin không vào điện, không có cáp sạc kèm theo, đặt màu đen cửa hàng lại giao màu vàng. Để khuyến khích cho ahop, vẫn tạm chấm 5 sao",Battery,negative,positive,negative → positive,1
Mới sử dụng 6 tháng pin còn 97%,Battery,neutral,negative,neutral → negative,1
"Camera selfie rất tệ. Da bị làm mịn quá mức. Làm đẹp ảo, mất chi tiết. Chụp selfie như bôi kem, không thấy rõ chi tiết da, pin dùng được nhưng hiệu năng không được mượt",Battery,positive,negative,positive → negative,1
"Con này sử dụng cứ tù làm sao á, nhưng mà để phụ huynh sử dụng thì rẻ tạm ổn. Ưu điểm là có cả củ sạc nhanh",Battery,positive,negative,positive → negative,1
"Màu sắc: Xanh matcha 🔋 
Thời lượng pin:5000 mah 📸 
Chất lượng camera: Không đẹp, màu nhạt cứ như hình chụp cả chục năm trước. Thiết kế camera sau đẹp. ⚡ 
Hiệu suất: Tạm thấy nhiều bạn hỏi, thì điện thoại nguyên seal (seal giấy). Tuy bị đánh giá là chíp yếu nhưng samsung tối ưu tốt nên không đến nỗi tệ. Tất nhiên máy chỉ phù hợp phụ huynh xem tốp tốp và youtube. Màn 6.7 inch xem phim đọc truyện thì ngon rồi.",Battery,positive,negative,positive → negative,1
"Nhận máy và test rất bất ngờ khi mới sạc có 5 lần, pin còn hơn 95%. Như mua máy mới luôn rồi còn gì 😂",Battery,positive,negative,positive → negative,1
"Phù hợp sử dụng làm máy phụ. Os sạch, ít app rác, đáp ứng tốt nhu cầu cơ bản (zalo, Facebook, youtube, web), màn hình ổn và pin tốt. Máy to hơn kì vọng nhưng ưu tiên pin nên chấp nhận, cầm cũng nhẹ nhàng. Ngoài ra thì cũng không nên kì vọng nhiều, chip hơi yếu, bật cam thôi cũng lag mà chụp hình thì chỉ là cho đủ tính năng.",Battery,positive,negative,positive → negative,1
"Pin cầm 5 giờ sử dụng nhẹ, đóng gói không chống va. Camera đêm đen kịt, chat hỗ trợ ngắt quãng.",Battery,positive,negative,positive → negative,1
"Pin xài lâu hết, nhưng mà xài trình duyệt Google là chính á, không có bộ sưu tập riêng mà dùng ảnh của Google hơi bất tiện, cam thì không nét lắm, nhưng mà trong tầm giá thì cũng quá ổn, chủ yếu cho phụ huynh sử dụng",Battery,positive,negative,positive → negative,1
"Điện thoại sử dụng được, pin sử dụng tạm ổn, bắt sóng hơi kém chút. Loa to nghe rõ. Giao hàng nhanh",Battery,positive,negative,positive → negative,1
6.876.500 vnd ! Quá ưng luôn. Tuy pin không trâu như kỳ vọng nhưng sạc thì siêu nhanh. Teo mình nghĩ thì con chíp này hiệu năng của nó rất cao nên pin như vậy là dễ hiểu. Ối giời ơi mướt mườn mượt.,Battery,positive,neutral,positive → neutral,1
"Giao hàng rất nhanh, đóng gói cẩn thận, bọc chống sốc kĩ càng. Cửa hàng có liên lạc để thông báo đổi màu với mình. Trả lời tin nhắn rất nhanh chóng. Máy đẹp keng, hầu như không có vết xước hay dấu vết. Cửa hàng có tặng ốp lưng và đã dán sẵn cường lực. Máy chụp ảnh đẹp, giá tầm trung bình, pin xài được rất lâu và khá mượt. Không hỗ trợ sạc nhanh nha, nhưng sạc 1 lần cũng có thể dùng được 1 ngày luôn rồi. Nói chung là nên mua !",Battery,positive,neutral,positive → neutral,2
Thời lượng pin ở mức ổn so với các dòng sản phẩm cùng phân khúc.,Battery,positive,neutral,positive → neutral,1
Trải nghiệm camera selfie tệ. Ảnh selfie khác ảnh quảng cáo. Camera thiếu chi tiết + màu giả. Selfie bị mịn quá mức mất chi tiết màu sai. Pin và hiệu năng bình thường nhưng không nổi bật. Đóng gói sơ sài ship tới muộn. Chăm sóc khách hàng hỗ trợ chậm và không có giải pháp hữu hiệu,Camera,negative,neutral,negative → neutral,1
"Màu sắc: Hồng đỏ: 
Dung lượng lưu trữ: 128gb máy đúng mô tả. Mỗi cái hay tự khởi động lại chất lượng camera tệ. Giao hàng thân thiện.",Camera,negative,positive,negative → positive,1
Theo mình hàng về mới nguyên máy bên ngoài sang cầm nhẹ mà đẹp lắm mới dùng thì thấy mượt đợi tầm 1 tuần sau quay lại đánh giá tiếp nhưng mà cam trước xấu khủng bố luôn thua con oppo f11 cũ của mình được cái camera sau đẹp mà cam trước mờ xấu cực giao cực nhanh nha đóng gói chắc chắn mới đặt hôm qua nay giao rồi á cửa hàng cũng dễ thương xĩu vận chuyển rồi vẫn cho đổi trả 10d cho cửa hàng và shipper ❤❤🐽,Camera,negative,positive,negative → positive,1
"Thời lượng pin ngon. Chất lượng camera hơi tối, không nét lắm. Hiệu suất cũng tốt",Camera,negative,positive,negative → positive,1
"Điện thoại mới. Test máy mượt, camera hơi cùi nhưng chơi game thì tốt",Camera,negative,positive,negative → positive,1
"Đúng với mô tả: Đúng 
Tính năng nổi bật: Gaming, sạc nhánh 
Chất lượng sản phẩm: Ổn áp phân vân chưa biết mua con điện thoại tầm trung nào thì tự nhiên con neo 2 nubia này ra lò. Phải nói là mua ngay đợt khuyến mãi quà đầu tiên thì quá tốt rồi mọi người ơi. Cửa hàng uy tín nhé, mới mua lần đầu thấy mall nên cũng không cần tư vấn gì mà không ngờ ship rất nhanh nội thành. Chưa từng sử dụng con nubia nào cả nhưng theo tìm hiểu thì xin review một chút có tâm cho các ông: Con này cày lâu thì buộc phải cắm sạc nhánh, đỡ nóng pin rất nhiều. Mua thêm sò lạnh kết hợp nửa mới oke nhé. Còn ông nào than máy nóng quá thì chắc không tìm hiểu về các dòng gaming phone rồi. Lướt liên quân bao mượt nhé. Chưa đến 5 củ thế thôi. Camera trước thì xấu thôi rồi. Camera sau tạm ổn. Điện thoại game mà giá quá tốt nên đừng đòi hỏi gì camera hết nhé. Xin hết 🙏🙏",Camera,negative,positive,negative → positive,1
"Thua máy cũ quảng cáo quá đà tất cả đều tệ. Thực sự hối hận khi mua, hiệu năng chậm, camera bình thường, pin yếu. Không đáng một xu.",Camera,neutral,negative,neutral → negative,1
"Chất lượng máy tốt, không bị xước gì nhiều, mà mình có hỏi cửa hàng trước lúc mua xem pin em này đã sạc được bao nhiêu thì cửa hàng bảo sạc khoảng vài lần, mình kiểm tra thì thấy sạc được 160 lần :))) -1 uy tín nhé, cường lực giao tới cũng vỡ ạ. Máy thì sử dụng hơi ấm, cam thì tốt",Camera,positive,negative,positive → negative,1
