data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
xịn ổn trong tầm giá,,,,,,,Positive,,,,
Săn sale được giá mềm . Mua cho con_em gái . Chắc phù_hợp chơi game ạ,,,Positive,,,,Positive,,,,
"Nhóm màu : màu vàng gôn sản_phẩm : samsung j7 prime 32g cửa_hàng bán hàng uy_tín riết chắc tôi hết tiền với cái cửa_hàng này luôn quá_bán đồ gì đâu mà món nào cũng rẻ cũng chất_lượng hết lãnh lương là tôi qua mua liền , đặt online liền hai cái 10 điểm cho cửa_hàng nha nhận hàng rất là ưng_ý luôn chất_lượng tuyệt_vời mà giá_cả thì phải chăng_nữa nhân_viên dễ_thương tư_vấn nhiệt_tình nhé màn_hình tuyệt đẹp bộ_xử_lý nhanh và hiệu_quả giá_trị tuyệt_vời cho số tiền bỏ ra tặng cửa_hàng đủ năm sao",,,,,,,Positive,Positive,,,
Hiệu_năng sử_dụng chip Snapdragon 8 series,,,Neutral,,,,,,,,
"Nhóm màu : đen tốc_độ vắt 700 vòng / phút , bảo_hành điện_tử 2 năm , ❤️✌️❤️✌️☺️",,,,,,,,,,,Neutral
"đã nhận được hàng , giao hàng nhanh_chóng , gói hàng cẩn_thận , cửa_hàng trả_lời rất nhiệt_tình . vừa mua cái thứ 2 của cửa_hàng thì có mua lần trước đã hư và đã vứt bỏ luôn.mong là cái này sẽ bền hơn . điện_thoại đang sử_dụng nên không chụp hình điện_thoại được",,,,,,Positive,,Positive,Positive,,
"sản_phẩm không được phân_phối bởi fpt mà là hãng con của petrolimex . nói_chung cũng tốt mà lúc nhận hơi hoang_mang . mua giá hơn 13tr chút_xíu hông giảm được nhiều nhưng cũng tốt . về cơ_bản là ios sử_dụng nóng và nhanh hết pin hơn android . cũng mượt , ai nhu_cầu chụp ảnh sử_dụng mượt và được lâu_dài có_thể tham_khảo .",,Positive,Positive,,,,Positive,,,,
Đúng với mô_tả : quá chuẩn hàng ngon Chất_lượng sản_phẩm : tốt Tính_năng nổi_bật : chụp đẹp chơi vui có_thể lén bố_mẹ chơi,,Positive,,,,,,,,,
Giao rất nhanh tôi rất tin_tưởng khi đặt_hàng và đã đuợc giao cho,,,,,,,,,Positive,,
ngoại_hình : máy cũ trầy_xước nhẹ rất là ô sa kê .. cám_ơn cửa_hàng nhiều nha ...,,,,,Positive,,,,,,
"Nhóm màu : pink Dung_lượng lưu_trữ : 128gb tuổi_thọ pin lâu_dài . , lựa_chọn màu_sắc tuyệt_vời ! , tuổi_thọ pin lâu_dài . ,",Positive,,,,,,,,,,
"Màn_hình xước không đủ bộ_nhớ điều_khiển giọng nói tệ , camera zoom kém . Mở hộp đã thấy màn_hình có vết xước nhỏ , bộ_nhớ_trong thì ít hơn quảng_cáo , chức_năng nhận_diện giọng nói thì như điếc .",,Negative,,Negative,,,,,,,
"Tính_năng nổi_bật : chơi game Đúng với mô_tả : đúng ngon , sử_dụng được 2 tuần thấy thế . để coi lâu_dài như nào đã",,,,,,,,,,Positive,
cửa_hàng chuẩn_bị hàng nhanh . Hàng đúng như mô_tả . Kích_hoạt 23/6 .,,,,,,,,Positive,,,
Mức giá sản_phẩm tương_ứng với cấu_hình phần_cứng được liệt_kê .,,,,,,,Neutral,,,,
"Đúng với mô_tả : đúng Tính_năng nổi_bật : điện_thoại Chất_lượng sản_phẩm : tốt Không chụp được hình nên để hình minh_hoạ nhận xu thôi ạ . máy đẹp , săn deal giá tốt giao hàng nhanh , cám_ơn cửa_hàng .",,,,,Positive,,Positive,,Positive,,
Thông_số camera trên lý_thuyết là đúng . Màn_hình thì mình chưa có đánh_giá gì thêm .,,Neutral,,Neutral,,,,,,,
"Đúng với mô_tả : máy hàng chuẩn . Đúng mô_tả Chất_lượng sản_phẩm : 9.8/10 Tính_năng nổi_bật : máy còn áp xuất . màn_hình đẹp . Khung viền 98% vẫn còn rất đẹp . Pin còn khoảng 3250 cửa_hàng uy_tín . Đã mua nhiều lần ở cửa_hàng cửa_hàng có dán sẵn cường_lực mặt trước cường_lực loại khá tốt . Quà tặng tại nghe 3.5 . Cục xạc nhanh 18w mới_tinh . Cáp cũng mới tình loại tốt . Máy khung viền rất khít không hở , không móp méo , chỉ vài chỗ trầy nhẹ.riêng hai mặt kính hầu_như không trầy rất đẹp . Mọi tính_năng đều sử_dụng tốt cảm_ơn cửa_hàng nhiều . Đang chờ thêm con pixel của cửa_hàng về nữa ",Neutral,,,Positive,Positive,Positive,,,Negative,,
Cấu_hình tuy không mạnh lắm nhưng với người không chơi game đồ_hoạ này kia thì vô_tư rồi .,,,Positive,,,,,,,,
"Nhiều lúc bị treo không nhận cảm_ứng , pin sụt nhanh",Negative,,Negative,,,,,,,,
"mình sử_dụng rồi mới đánh_giá nhé , sử_dụng tốt không đơ gì luôn , mượt như sunsik  , mua cho ông_bà bố_mẹ sử_dụng tốt phết",,,Positive,,,,,,,,
shipping phí cao nhưng giao muộn hiệu_năng quá nhiệt camera thiếu nét,,Negative,Negative,,,,,,Negative,,
Sản_phẩm tuyệt_vời mọi người nên mua nha . Giao nhanh lại sử_dụng rất tốt . Mình rất là hài_lòng . Tuyệt_vời ạ .,,,,,,,,,Positive,,
"Color family : black điện_thoại có các chức_năng đều ổn , cửa_hàng uy_tín , nm có_thể ủng_hộ cửa_hàng . Tặng cửa_hàng 5 sao .",,,,,,,,,,Positive,
Chức_năng bình thường.mỗi tội pin hơi ảo,Negative,,,,,,,,,,
mua về đúng là máy vivo y17 nhưng máy chỉ có 4gb ram 64gb bộ_nhớ không phải là ram 6 128 không giống như cửa_hàng ghi ở mô tả☹️,,,,,,,,,,Negative,
Chất_lượng sản_phẩm : tệ màn đểu quá không đa_điểm được 6 ngón là hết viền dưới dày_cộp,,,,Negative,,,,,,Negative,
"Máy đẹp nhưng màn hơi ám nhẹ , đã test ok , ngon trong tầm giá hơn 3 triệu",,,,Negative,Positive,,Positive,,,,
"cửa_hàng ship hàng rất nhanh , đúng sản phầm , chất_lượng sàn phầm rất tốt , cửa_hàng gói hàng rất cẩn_thận . có dịp sẽ ùng hộ cửa_hàng thêm . hình ành chỉ nhằm mục_đích nhận xu thôi ạ . mình cảm on cửa_hàng",,,,,,Positive,,,Positive,,
"Đúng hàng chính hãng , nhưng giá rẻ hơn nhiều , rất hài_lòng , nên mua",,,,,,,Positive,,,,
Khả_năng lưu_trữ : 32gb Nhóm màu : nhiều màu hàng chị nhận được rồi ? rất tuyệt_vời ? lâzda là một nhà_cung_cấp các sản_phẩm hàng_hoá dịch_vụ tốt ? sẽ ủng_hộ lâzda nhà_cung_cấp bán hàng uy_tín ! cảm_ơn .. ,,,,,,,,,,Positive,
Hàng qúa chất_lượng luôn mình không lấy sạc đúng lúc giảm_giá có 1378k được chiếc điện_thoại xịn sò.đã sử_dụng được nửa tháng máy mượt chơi game không bị giật máy.pin ổn_định mình đã lấy thêm cái nữa ... Mọi người cứ yên_tâm,Positive,,,,,,Positive,,,,
"Ok , sản_phẩm nguyên siuuuu , đề kiểm_tra ngày kích_hoạt Mọi người nhớ tạo tài_khoản Vivo rồi đăng_nhập nhé , trong app Vivo ứng_dụng của máy luôn ...",,,,,,,,,,Positive,
"cửa_hàng giao hàng nhanh , máy sử_dụng khá mượt . Mình mua tặng cho mẹ , chỉ sử_dụng các tác_vụ nhẹ cơ_bản thôi nên oke nha",,,Positive,,,,,,Positive,,
Color family : color random sản_phẩm : nhận hàng ưng_ý . máy mới 99% . cửa_hàng cũng có test giúp trc khi gửi như lời mình yêu_cầu . mua về cho nhóc tập nhắn_tin zalo và liên_lạc với mẹ trong vài trường_hợp cần_thiết . trong tầm giá này thì chiếc điện_thoại này đáng để mua . cửa_hàng làm_ăn uy_tín nhé .,,,,,,,Positive,,,,
"Hàng về nguyên hộp chắc_chắn , test máy 3 ngày rất mượt và ngon , pin trâu , sạc nhanh , loa khủng , rất đáng để mua nha mọi người",Positive,,Positive,,,,,,,,
Chất_lượng sản_phẩm : camera chụp ngược sáng tệ . Đúng với mô_tả : không cân_bằng được ánh_sáng . Tính_năng nổi_bật : chụp hdr kém . Ảnh chụp thiếu sáng bị bệt màu . Máy lag khi xem live stream . Chăm_sóc khách_hàng hướng_dẫn sai cách khắc_phục,,Negative,Negative,,,,,Negative,,,
Sản_phẩm rất tốt và cửa_hàng hỗ_trợ rất nhiệt_tình . Ship nhanh . Sẽ tiếp_tục ủng_hộ cửa_hàng .,,,,,,,,Positive,Positive,,
"pin khi xem video , youtube được nữa ngày .",Neutral,,,,,,,,,,
"mới sử_dụng được một tuần thì góc dưới màn_hình bị sẩm tối , ít sáng hơn phần còn lại . quá tệ , không bao_giờ mua mấy con điện_thoại lởm này nữa",,,,Negative,,,,,,,
Tính_năng nổi_bật : dung_lượng nhiều cực Chất_lượng sản_phẩm : rất tốt,,,,,,,,,,Positive,
khá thất_vọng khi nhận máy không đúng như mô_tả phân_loại máy 99% như cửa_hàng đăng_tải,,,,,,,,,,Negative,
chăm_sóc khách_hàng yêu_cầu chờ thêm camera macro thiếu focus pin hao pin dữ_liệu,Negative,Negative,,,,,,Negative,,,
Phần_mềm chạy trên hệ_điều_hành Android phiên_bản 13 .,,,,,,,,,,Neutral,
"Hàng ở ngoài đẹp hơn hình luôn.hi , cửa_hàng tư_vấn rất rất nhiệt_tình với khách_hàng luôn , nhất_định sẽ tiếp_tục ủng_hộ cửa_hàng",,,,,Positive,,,Positive,,,
Hình_ảnh mang tính_chất nhận xu . Tuyệt_vời . Săn sale giá tốt . Nên mua nha mọi người,,,,,,,Positive,,,,
"hiệu_năng chậm tính_toán , đóng_gói không siết nút . camera selfie da úa , ship thiếu cập_nhật .",,Negative,Negative,,,Negative,,,Negative,,
điện_thoại thong minh poco x7 pro5g mau vang den hang chinh hang phan_phoi,,,,,,,,,,Positive,
"Nhóm màu : natural Dung_lượng lưu_trữ : 256gb mượt , ổn",,,Positive,,,,,,,,
là điện_thoại mua trên mạng sử_dụng được 10 ngày_giờ bấm không lên gì hết ... chán thật.mua điện_thoại vào thếgioididong mua cho chất ăn ..,,,,,,,,,,Negative,
"thất_vọng hình_ảnh đẹp hơn thực_tế sản_phẩm trong ảnh khác xa ngoài đời ,",,,,,Negative,,,,,,
Mình mua màu đỏ cửa_hàng giao màu xanh mình có nhắn lại cửa_hàng nói kiểm_tra ròi xong im luôn không thấy trả_lời gì hết  cũng hơi buồn nhưng có được tặng kèm củ sạc với dây đóng_gói tạm,,,,,,Positive,,Negative,,,
Đúng với mô_tả : sai không sài được messger Chất_lượng sản_phẩm : quá kém Tính_năng nổi_bật : lừa_đảo mua màu này cho màu kia không đúng với hình,,,,,,,,,Negative,Negative,
Nhóm màu : desert Dung_lượng lưu_trữ : 256gb sản_phẩm tốt giao hàng nhanh chất_lượng tuyệt_vời sẽ còn ủng_hộ tiếp cám_ơn cửa_hàng nhiều hehehe cám_ơn xin chân_thành cảm_ơn cửa_hàng,,,,,,,,,Positive,,
